group;week;Low normal range;High normal range;Baseline;Substantial increase;Observed count
Total;2020-01;54370.19;56825.63;55593.39;58066.83;58824
Total;2020-02;54569.38;57048.93;55804.56;58302.4;60671
Total;2020-03;54705.92;57202.92;55949.78;58465.28;59820
Total;2020-04;54777.67;57284.78;56026.55;58552.29;58637
Total;2020-05;54783.61;57293.04;56033.64;58561.73;59616
Total;2020-06;54723.79;57227.72;55971.09;58493.62;57596
Total;2020-07;54599.35;57090.26;55840.17;58349.54;57362
Total;2020-08;54412.66;56883.45;55643.48;58132.49;55306
Total;2020-09;54166.91;56611.42;55384.67;57847.1;55773
Total;2020-10;53866.38;56279.51;55068.54;57499.24;56251
Total;2020-11;53516.11;55894.08;54700.79;57095.93;58228
Total;2020-12;53121.94;55462.26;54287.9;56644.98;65618
Total;2020-13;52690.28;54991.94;53837.01;56155.01;78473
Total;2020-14;52228.05;54491.43;53355.74;55635.06;89148
Total;2020-15;51742.49;53969.26;52851.97;55094.32;86800
Total;2020-16;51241.09;53434.06;52333.74;54541.98;76735
Total;2020-17;50731.44;52894.31;51809.11;53986.98;67355
Total;2020-18;50221.11;52358.21;51285.95;53437.84;59771
Total;2020-19;49717.59;51833.56;50771.9;52902.52;56322
Total;2020-20;49228.09;51327.64;50274.21;52388.32;52539
Total;2020-21;48759.57;50847.15;49799.71;51901.83;51929
Total;2020-22;48318.46;50398.21;49354.68;51448.99;49564
Total;2020-23;47910.86;49986.23;48944.87;51034.86;48620
Total;2020-24;47542.2;49616.01;48575.41;50663.93;47779
Total;2020-25;47217.39;49291.67;48250.82;50339.91;47650
Total;2020-26;46940.55;49016.87;47974.97;50066.21;49606
Total;2020-27;46715.37;48794.4;47751.12;49845.18;48075
Total;2020-28;46544.7;48626.64;47581.88;49678.95;47781
Total;2020-29;46430.73;48515.33;47469.22;49569.02;48120
Total;2020-30;46374.98;48461.66;47414.49;49516.42;48604
Total;2020-31;46378.24;48466.25;47418.41;49521.69;50722
Total;2020-32;46440.63;48529.18;47481.08;49584.88;49985
Total;2020-33;46561.58;48649.94;47601.94;49705.51;53165
Total;2020-34;46739.79;48827.5;47779.84;49882.7;49176
Total;2020-35;46973.26;49060.23;48012.97;50115;48590
Total;2020-36;47259.34;49345.91;48298.87;50400.41;49089
Total;2020-37;47594.53;49681.82;48634.44;50736.61;50449
Total;2020-38;47974.92;50064.38;49015.94;51120.2;51781
Total;2020-39;48395.5;50489.8;49438.96;51547.99;50619
Total;2020-40;48851.08;50953.19;49898.44;52015.26;52814
Total;2020-41;49335.61;51449.25;50388.74;52517.1;53467
Total;2020-42;49842.58;51972;50903.58;53047.79;54999
Total;2020-43;50365.03;52514.81;51436.18;53600.89;59823
Total;2020-44;50895.61;53070.5;51979.26;54169.27;63413
Total;2020-45;51426.73;53631.29;52525.15;54745.08;66969
Total;2020-46;51950.67;54189.01;53065.9;55319.93;68466
Total;2020-47;52459.64;54735.16;53593.37;55884.94;67777
Total;2020-48;52946;55261.09;54099.42;56430.96;67576
Total;2020-49;53402.31;55758.15;54575.99;56948.72;68125
Total;2020-50;53821.47;56217.91;55015.34;57429.11;68360
Total;2020-51;54196.91;56632.34;55410.17;57863.37;67561
Total;2020-52;54522.66;56994.05;55753.79;58243.37;67108
Total;2020-53;54793.5;57296.46;56040.32;58561.84;69072
Total;2021-01;55005.09;57534;56264.81;58812.6;72371
Total;2021-02;55154.02;57702.29;56423.36;58990.74;75874
Total;2021-03;55237.94;57798.22;56513.25;59092.79;78321
Total;2021-04;55255.6;57820.1;56533;59116.81;74805
Total;2021-05;55206.86;57767.64;56482.41;59062.47;69354
