Año;Número;Vendido en
2021;86148;Ayamonte (Huelva), Las Palmas de Gran Canaria, Madrid, Santoña (Cantabria)
2020;72897;Punta Umbría (Huelva), Jávea (Alicante), Granada, Madrid, Bilbao, Boñar (León), Vigo, El Grove y Porriño (Pontevedra), Granadilla de Abona (Tenerife), Cáceres, El Puerto de Santa María (Cádiz), Córdoba, Haría (Lanzarote), San Pedro del Pinatar (Murcia), Salamanca, Tarragona y Reus (Tarragona), Oliva y Alfara del Patriarca (Valencia) y Zamora
2019;26590;Alcoy (Alicante), Barcelona, Las Torres de Cotillas (Murcia), Madrid, Murcia, Salamanca, Salou (Tarragona), San Vicente del Raspeig (Alicante), Sevilla, Súria (Barcelona), Teulada (Alicante)
2018;03347;Bilbao, Cuenca, Guernica y Luno (Vizcaya), Granada, Huesca
2017;71198;Vilalba (Lugo), Málaga, Jaca (Huesca), Baeza (Jaén), Sort (Lérida), Madrid, Torrejón de Ardoz (Madrid), Santander, Cádiz, San Bartolomé (Lanzarote), Murcia, San Pedro del Pinatar (Murcia), Granadilla de Abona (Tenerife) y Benetúser (Valencia)1​
2016;66513;Madrid2​
2015;79140;Roquetas de Mar (Almería)3​
2014;13437;San Bartolomé (Lanzarote), Boñar (León), El Bosque (Cádiz), Lugo y Murcia
2013;62246;Avilés (Asturias), Barcelona, Mondragón (Guipúzcoa), Bailén y Huelma (Jaén), Leganés (Madrid), Madrid, Palencia, El Rosal (Pontevedra), Sanlúcar la Mayor (Sevilla), Quintanar de la Orden (Toledo), Manises (Valencia) y Valencia4​
2012;76058;Alcalá de Henares (Madrid), Barcelona, Ripollet, Burgo de Osma, (Soria), Madrid, Manises (Valencia), Alaquas (Valencia), Pinto (Madrid), Valladolid, Barbate (Cádiz), Olmedo (Valladolid), Onda (Castellón), Puerto del Rosario (Fuerteventura), Alicante, Cúllar-Baza (Granada), Oviedo (Asturias), Salamanca, Igualada (Barcelona), Baeza (Jaén), Argana Alta-Arrecife (Lanzarote), Almuñecar (Granada), Humanes (Guadalajara), Torre Pacheco (Murcia), Villarrasa (Huelva) ...5​
2011;58268;Grañén (Huesca)
2010;79250;Saldaña (Palencia), Garachico (Santa Cruz de Tenerife), Éibar (Guipúzcoa), Molina de Segura (Murcia), Sardañola del Vallés y Pallejá (Barcelona), Alcorcón (Madrid), Cáceres, Zaragoza, Alicante, Barcelona y Madrid.6​
2009;78294;Madrid
