"La Palma Aeropuerto"

"Mes","T","TM","Tm","R","H","DR","DN","DT","DF","DH","DD","I",
"Enero","18.1","20.6","15.5","49","70","5.3","0.0","0.2","0.0","0.0","4.6","141",
"Febrero","18.0","20.7","15.3","57","71","4.3","0.0","0.3","0.0","0.0","4.8","146",
"Marzo","18.5","21.2","15.7","33","71","3.9","0.0","0.1","0.1","0.0","5.0","177",
"Abril","18.9","21.6","16.2","18","70","2.7","0.0","0.1","0.1","0.0","3.4","174",
"Mayo","20.0","22.6","17.4","7","70","1.3","0.0","0.0","0.0","0.0","4.3","192",
"Junio","21.7","24.1","19.2","2","72","0.4","0.0","0.0","0.0","0.0","4.8","188",
"Julio","23.1","25.5","20.7","1","73","0.3","0.0","0.0","0.0","0.0","7.0","222",
"Agosto","23.9","26.3","21.4","1","73","0.4","0.0","0.0","0.1","0.0","7.1","209",
"Septiembre","24.0","26.6","21.3","12","73","1.8","0.0","0.1","0.1","0.0","6.5","187",
"Octubre","22.8","25.5","20.2","41","73","5.2","0.0","0.2","0.0","0.0","5.1","175",
"Noviembre","20.9","23.5","18.3","70","71","6.8","0.0","0.4","0.1","0.0","4.2","140",
"Diciembre","19.3","21.8","16.7","80","70","7.9","0.0","0.3","0.0","0.0","4.7","138",
"Año","20.7","23.3","18.1","369","72","40.3","0.0","1.9","0.6","0.0","62.6","2106",
